# mesh name: mesh_x
# mesh half-size: (25,0.5,0.5) [cm] 
# mesh center: (0,0,1.4) [cm] 
# mesh segments: 500 1 1
# primitive scorer name: dose
# mesh dx dy dz: 0.1 1 1
# iX, iY, iZ, X [cm], Y [cm], Z [cm], total(value) [Gy], total(val^2), entry
58,0,0,-19.19999999999992,-0.5,0.9,6.653515236322735e-11,5.589506306968658e-22,50
59,0,0,-19.09999999999992,-0.5,0.9,4.473692494890821e-11,1.268585946426666e-22,52
60,0,0,-18.99999999999991,-0.5,0.9,8.750314180278021e-11,6.245578246006628e-22,54
61,0,0,-18.89999999999991,-0.5,0.9,7.877323299380146e-11,3.96354657548311e-22,69
62,0,0,-18.79999999999991,-0.5,0.9,6.558365194738685e-11,3.763360404816362e-22,57
63,0,0,-18.69999999999991,-0.5,0.9,7.276995313000788e-11,7.230599778655831e-22,59
64,0,0,-18.59999999999991,-0.5,0.9,9.158339089957086e-11,8.17337045178617e-22,63
65,0,0,-18.49999999999991,-0.5,0.9,6.804464071392809e-11,7.284273836002446e-22,54
66,0,0,-18.39999999999991,-0.5,0.9,4.563494334225319e-11,1.064548833968729e-22,58
67,0,0,-18.2999999999999,-0.5,0.9,8.632875497839307e-11,5.832200054779071e-22,54
68,0,0,-18.1999999999999,-0.5,0.9,1.475826192143545e-10,1.346622357370846e-21,80
69,0,0,-18.0999999999999,-0.5,0.9,8.710150424393758e-11,4.432545427569824e-22,66
70,0,0,-17.9999999999999,-0.5,0.9,7.475572056317906e-11,5.044904535528031e-22,59
71,0,0,-17.8999999999999,-0.5,0.9,4.078874883140144e-11,1.470603282351484e-22,56
72,0,0,-17.7999999999999,-0.5,0.9,6.31948510344235e-11,5.762920556203876e-22,48
73,0,0,-17.6999999999999,-0.5,0.9,4.085583561109628e-11,2.607364639964029e-22,58
74,0,0,-17.59999999999989,-0.5,0.9,2.888769871243736e-11,5.596380928873191e-23,59
75,0,0,-17.49999999999989,-0.5,0.9,5.870182538316909e-11,2.850493052970243e-22,58
76,0,0,-17.39999999999989,-0.5,0.9,8.482262350281199e-11,1.080376893486186e-21,73
77,0,0,-17.29999999999989,-0.5,0.9,5.95490528519339e-11,4.671971681856375e-22,55
78,0,0,-17.19999999999989,-0.5,0.9,6.549839892953973e-11,2.359712597427328e-22,65
79,0,0,-17.09999999999989,-0.5,0.9,8.534260780186275e-11,4.526420862686295e-22,64
80,0,0,-16.99999999999989,-0.5,0.9,8.432276702899479e-11,5.653322519418394e-22,64
81,0,0,-16.89999999999988,-0.5,0.9,6.147085388589542e-11,2.548531933859269e-22,63
82,0,0,-16.79999999999988,-0.5,0.9,7.738266661584633e-11,5.340265664355353e-22,83
83,0,0,-16.69999999999988,-0.5,0.9,8.813437406359056e-11,1.019061481033656e-21,67
84,0,0,-16.59999999999988,-0.5,0.9,1.0599060063525e-10,6.525547394352881e-22,74
85,0,0,-16.49999999999988,-0.5,0.9,9.386958923834626e-11,7.174330742544581e-22,71
86,0,0,-16.39999999999988,-0.5,0.9,1.055292750615812e-10,1.074844236533363e-21,79
87,0,0,-16.29999999999988,-0.5,0.9,6.286518917689106e-11,2.458231345702264e-22,70
88,0,0,-16.19999999999987,-0.5,0.9,7.572669831212484e-11,4.836087517151876e-22,97
89,0,0,-16.09999999999987,-0.5,0.9,8.367434583601185e-11,4.252783342051669e-22,89
