# PRIMO
# version: 0.3.1.1772
# Project ID: Kalibracja5
#
# Calculated curve
# x(cm)  y(cm)  z(cm)  Dose[eV/g]
#------------------------------------------------
   0.00E+000     0.00E+000     2.66E+001    1.3986E-001
   0.00E+000     0.00E+000     2.67E+001    1.3852E-001
   0.00E+000     0.00E+000     2.68E+001    1.3718E-001
   0.00E+000     0.00E+000     2.69E+001    1.3665E-001
   0.00E+000     0.00E+000     2.70E+001    1.3612E-001
   0.00E+000     0.00E+000     2.71E+001    1.3535E-001
   0.00E+000     0.00E+000     2.72E+001    1.3458E-001
   0.00E+000     0.00E+000     2.73E+001    1.3337E-001
   0.00E+000     0.00E+000     2.74E+001    1.3215E-001
   0.00E+000     0.00E+000     2.75E+001    1.3046E-001
   0.00E+000     0.00E+000     2.76E+001    1.2876E-001
   0.00E+000     0.00E+000     2.77E+001    1.2907E-001
   0.00E+000     0.00E+000     2.78E+001    1.2938E-001
   0.00E+000     0.00E+000     2.79E+001    1.2893E-001
   0.00E+000     0.00E+000     2.80E+001    1.2848E-001
   0.00E+000     0.00E+000     2.81E+001    1.2675E-001
   0.00E+000     0.00E+000     2.82E+001    1.2501E-001
   0.00E+000     0.00E+000     2.83E+001    1.2454E-001
   0.00E+000     0.00E+000     2.84E+001    1.2406E-001
   0.00E+000     0.00E+000     2.85E+001    1.2332E-001
   0.00E+000     0.00E+000     2.86E+001    1.2259E-001
   0.00E+000     0.00E+000     2.87E+001    1.2167E-001
   0.00E+000     0.00E+000     2.88E+001    1.2075E-001
   0.00E+000     0.00E+000     2.89E+001    1.2035E-001
   0.00E+000     0.00E+000     2.90E+001    1.1995E-001
   0.00E+000     0.00E+000     2.91E+001    1.1932E-001
   0.00E+000     0.00E+000     2.92E+001    1.1868E-001
   0.00E+000     0.00E+000     2.93E+001    1.1796E-001
   0.00E+000     0.00E+000     2.94E+001    1.1723E-001
   0.00E+000     0.00E+000     2.95E+001    1.1700E-001
   0.00E+000     0.00E+000     2.96E+001    1.1678E-001
   0.00E+000     0.00E+000     2.97E+001    1.1620E-001
   0.00E+000     0.00E+000     2.98E+001    1.1562E-001
   0.00E+000     0.00E+000     2.99E+001    1.1512E-001
   0.00E+000     0.00E+000     3.00E+001    1.1461E-001
   0.00E+000     0.00E+000     3.01E+001    1.1294E-001
   0.00E+000     0.00E+000     3.02E+001    1.1127E-001
