#ComponentName;                                                                      CoM_x;     CoM_y;     CoM_z
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:28|FiberSleeve v2:1;            270.9999999999;126.3249999999;185.2
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:28|Bottom_ver4 v3:1;            271.0;266.3249999999;183.71992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:28|Top_ver4 v2:1;               271.0;266.3249999999;187.8954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:29;                             271.0;307.7341592196;198.6741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:29|D3DF_SC_Cell v6:1;           271.0;283.6749999999;198.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:29|Fiber v2:1;                  271.0;423.6749999999;198.4000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:29|FiberSleeve v2:1;            271.0000000001;423.6749999999;198.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:29|Bottom_ver4 v3:1;            271.0;283.6749999999;196.91992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:29|Top_ver4 v2:1;               271.0;283.675;201.0954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:30;                             271.0;242.2658407802;198.6741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:30|D3DF_SC_Cell v6:1;           271.0;266.3249999999;198.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:30|Fiber v2:1;                  271.0;126.3249999999;198.4000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:30|FiberSleeve v2:1;            270.9999999999;126.3249999999;198.4
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:30|Bottom_ver4 v3:1;            271.0;266.3249999999;196.91992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:30|Top_ver4 v2:1;               271.0;266.3249999999;201.0954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:31;                             271.0;307.7341592196;211.8741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:31|D3DF_SC_Cell v6:1;           271.0;283.6749999999;211.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:31|Fiber v2:1;                  271.0;423.6749999999;211.6000000001
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:31|FiberSleeve v2:1;            271.0000000001;423.6749999999;211.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:31|Bottom_ver4 v3:1;            271.0;283.6749999999;210.11992238
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:31|Top_ver4 v2:1;               271.0;283.675;214.2954526042
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:32;                             271.0;242.2658407802;211.8741089754
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:32|D3DF_SC_Cell v6:1;           271.0;266.3249999999;211.6
WaterPhantom v8|Tower v5:1|ScintillatorBrick v4:32|Fiber v2:1;                  271.0;126.3249999999;211.6000000001
