#ComponentName;                                                                      CoM_x;     CoM_y;     CoM_z
Phantom v18|Assembly v13:1|ScintillatorBrick v10:27|BrickBottom v4:1;           160.7057470895;133.326185897;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:27|D3DF_SC_Cell v6:1;          158.7;133.25;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:27|BrickTop v4:1;              156.3930670789;133.2511759313;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:27|Fiber v4:1;                 158.6999999999;28.25;101.55
Phantom v18|Assembly v13:1|ScintillatorBrick v10:27|FiberSleeve v4:1;           158.7;28.25;101.5499999999
Phantom v18|Assembly v13:1|PLA_holders:1;                                       145.4829710174;148.1875871871;79.0293984279
Phantom v18|Assembly v13:1|PLA_holders:1|holder3x3_layer1 v9:1;                 142.7607949859;162.5782982652;85.2727463242
Phantom v18|Assembly v13:1|PLA_holders:1|holder3x3_layer2 v5:1;                 140.7602525543;147.7920023198;73.8768847761
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer2 v4:1;                158.6;147.95;84.65
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer2 v4:2;                143.2;147.95;84.65
Phantom v18|Assembly v13:1|PLA_holders:1|holder3x3_layer3 v5:1;                 152.2320978037;133.1831611476;74.4411977738
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer3_lengh v4:1;          143.2;133.25;76.2
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer3_lengh v4:2;          158.6;133.25;76.2
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer3_lengh v4:4;          143.2;133.25;93.1
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer3_lengh v4:3;          158.6;133.25;93.1
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer3_width v4:1;          135.5;133.25;97.325
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer3_width v4:2;          135.5;133.25;88.875
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer3_width v4:3;          135.5;133.25;80.425
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer3_width v4:6;          150.9;133.25;97.325
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer3_width v4:5;          135.5;133.25;63.525
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer3_width v4:4;          135.5;133.25;71.975
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer3_width v4:7;          150.9;133.25;88.875
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer3_width v4:8;          150.9;133.25;80.425
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer3_width v4:9;          150.9;133.25;71.975
Phantom v18|Assembly v13:1|PLA_holders:1|bar_holder_layer3_width v4:10;         150.9;133.25;63.525
